team_id,window,games,win,opp,modal_h100,distinct400,subs,from_,cows,sheep,geese,straw,wheat,melon,carrot,tomato,hands,care,fert,money,team_name,rank,group,o
16621799,F,50,0.52,1114.0106168713185,0.78,0.98,1,08-19,8.0,5.0,0.0,34.0,142.0,17.0,6.0,0.0,12.0,242.5,48.5,76407.0,Artem The Farmer 🍅,1,top,0
16621799,Q1,50,0.4,1474.5421629023767,0.9,0.8,1,09-07,10.0,4.0,0.0,39.0,123.0,12.0,13.5,5.0,12.0,262.0,82.0,92987.5,Artem The Farmer 🍅,1,top,1
16621799,Q2,50,0.86,2541.811920737017,0.94,1.0,3,09-11,7.5,4.0,0.0,30.0,138.5,12.0,55.0,13.0,13.0,286.0,127.0,102443.5,Artem The Farmer 🍅,1,top,2
16621799,Q3,50,0.9,2496.8932775889234,0.92,1.0,2,09-13,7.0,7.0,2.0,24.0,154.0,13.0,30.5,8.0,13.0,307.5,155.5,101643.5,Artem The Farmer 🍅,1,top,3
16621799,L,50,0.92,2853.4070048196813,0.94,1.0,1,09-14,7.0,6.0,2.0,25.0,146.0,13.0,45.5,9.0,13.0,310.5,153.0,95925.0,Artem The Farmer 🍅,1,top,4
16621799,C0,50,0.98,2115.06111071079,0.98,1.0,1,09-14,7.5,4.0,2.0,29.0,142.0,13.0,28.0,10.0,13.0,310.5,159.0,109196.5,Artem The Farmer 🍅,1,top,5
16718819,F,50,0.72,1172.07600363439,0.02,1.0,2,08-28,8.0,7.0,0.0,36.0,13.5,13.0,0.0,0.0,11.0,263.5,65.5,87165.0,Majkel1337,2,top,0
16718819,Q1,50,0.3,1368.1026993212417,0.24,1.0,1,09-07,9.0,6.0,0.0,38.0,8.0,13.0,0.0,0.0,11.0,286.0,76.5,82722.0,Majkel1337,2,top,1
16718819,Q2,50,0.86,2544.985241316587,0.16,1.0,3,09-10,8.0,4.0,2.0,29.5,190.0,14.0,21.5,1.0,11.0,322.5,150.0,107963.5,Majkel1337,2,top,2
16718819,Q3,50,0.56,3078.4831672460605,0.08,1.0,2,09-12,9.0,4.5,2.0,31.0,187.0,14.0,23.5,4.0,11.0,342.5,157.0,114608.5,Majkel1337,2,top,3
16718819,L,50,0.9,2990.987330686287,0.06,1.0,2,09-14,8.5,5.0,0.0,30.5,174.0,13.0,43.0,8.0,11.0,326.5,159.0,108935.5,Majkel1337,2,top,4
16718819,C0,50,0.98,2118.349691079684,0.22,1.0,1,09-11,8.0,4.0,2.0,31.0,177.5,14.0,37.0,7.5,11.0,309.0,150.5,118371.0,Majkel1337,2,top,5
16730612,F,50,0.74,1410.6304471169258,0.94,0.36,2,08-23,11.0,4.0,0.0,41.0,134.0,11.0,20.0,0.0,15.0,343.0,80.0,88617.5,Unknown Mother-Goose,3,gold,0
16730612,L,50,0.8,2955.8927366624957,0.72,1.0,2,09-14,7.0,5.0,3.0,29.5,149.0,14.0,29.0,8.5,11.0,311.0,180.5,111262.5,Unknown Mother-Goose,3,gold,4
16730612,C0,50,1.0,2015.4478001610917,0.94,1.0,1,09-14,7.0,6.0,3.0,29.5,141.0,14.0,26.5,8.0,11.0,337.5,181.0,119640.0,Unknown Mother-Goose,3,gold,5
16732748,F,50,0.86,1761.3146272915765,0.82,0.32,1,08-14,8.0,4.0,0.0,37.0,143.0,19.0,0.0,0.0,14.0,967.0,72.0,103782.0,DSM,4,top,0
16732748,Q1,50,0.3,1916.0467701802208,0.6,0.5,4,08-26,9.0,5.0,0.0,42.0,126.0,12.0,5.0,0.0,12.0,320.0,66.0,84702.0,DSM,4,top,1
16732748,Q2,50,0.8,1720.2358973692203,0.96,0.14,2,09-04,9.0,5.0,0.0,38.0,187.0,12.0,6.0,0.0,12.0,333.0,62.0,94450.0,DSM,4,top,2
16732748,L,50,0.96,2826.5888164391677,0.26,1.0,1,09-14,8.0,4.0,2.0,30.0,187.5,14.0,50.5,8.0,11.0,334.0,153.5,100325.0,DSM,4,top,4
16732748,C0,50,1.0,2127.8329564741034,0.2,1.0,1,09-14,9.0,5.0,2.0,30.0,187.0,14.0,36.5,7.0,11.0,349.5,157.0,109152.0,DSM,4,top,5
16640510,F,50,0.7,1240.2698043292921,1.0,0.16,1,08-23,10.0,7.0,0.0,24.0,154.0,11.0,0.0,0.0,12.0,278.0,59.0,93937.0,SpaTaro,5,top,0
16640510,Q1,50,0.76,1526.601546892547,0.1,0.92,4,09-02,8.0,5.0,0.0,23.0,173.0,11.0,4.5,0.0,12.0,282.0,93.5,98947.0,SpaTaro,5,top,1
16640510,Q2,50,0.5,2436.821569244013,0.02,1.0,2,09-05,8.0,4.0,0.0,28.0,176.5,12.0,47.5,0.0,12.0,245.0,99.0,88826.0,SpaTaro,5,top,2
16640510,Q3,42,0.7380952380952381,2871.9193590957884,0.023809523809523808,1.0,2,09-09,10.5,8.0,0.0,27.0,168.5,11.0,56.5,0.0,12.0,278.0,119.0,98493.5,SpaTaro,5,top,3
16640510,L,50,0.46,3008.4536757842793,0.02,1.0,2,09-14,13.0,8.0,0.0,28.0,183.5,11.0,38.5,0.0,11.0,286.5,111.0,96397.0,SpaTaro,5,top,4
16640510,C0,50,0.98,1420.2008038469714,0.02,1.0,1,09-11,10.0,8.0,0.0,25.5,188.5,11.0,59.0,0.0,11.0,267.0,83.0,96824.5,SpaTaro,5,top,5
16730524,C0,50,0.96,1837.505246337018,0.98,1.0,1,09-13,10.0,4.0,6.0,32.5,133.5,15.0,45.5,10.0,13.0,324.0,184.5,117769.0,THIRD FARM CLUB,6,gold,5
16675778,F,50,0.74,889.0547094408691,0.3,0.98,1,08-28,8.0,4.0,0.0,34.0,140.0,17.0,0.0,0.0,14.0,930.0,72.0,89616.0,Orbital Terraformer,7,top,0
16675778,Q1,50,0.72,2004.0282895539399,0.16,0.9,3,09-09,15.5,13.0,0.0,78.5,227.5,16.0,40.0,0.0,12.0,254.5,145.5,94542.5,Orbital Terraformer,7,top,1
16675778,Q2,50,0.4,2462.833188605601,0.54,0.58,2,09-11,8.0,9.0,0.0,33.0,154.0,12.0,40.0,0.0,12.0,399.0,61.0,90448.5,Orbital Terraformer,7,top,2
16675778,L,50,0.68,2954.666412995633,0.08,1.0,2,09-14,9.0,5.0,2.0,32.0,192.0,14.0,45.0,8.0,11.0,333.0,155.5,98386.0,Orbital Terraformer,7,top,4
16675778,C0,50,0.98,1904.9589196907355,0.42,1.0,1,09-13,7.5,5.0,2.0,31.0,187.0,14.0,42.0,9.0,11.0,332.0,152.0,104433.0,Orbital Terraformer,7,top,5
16664246,C0,50,0.92,2081.520856879927,0.5,1.0,1,09-14,7.0,4.0,4.0,26.0,129.0,8.0,58.5,14.0,11.0,317.0,150.0,107532.5,Sida Zuo,8,gold,5
16732403,F,50,0.8,1873.4253172063866,0.88,0.28,1,08-22,8.0,6.0,0.0,42.0,125.0,12.0,5.0,0.0,12.0,318.0,70.0,86963.0,ymg_aq,9,top,0
16732403,Q1,50,0.88,1694.2956427153151,0.32,0.18,2,09-02,9.0,5.0,0.0,38.0,187.0,12.0,6.0,0.0,12.0,333.0,62.0,83641.5,ymg_aq,9,top,1
16732403,Q2,50,0.74,2116.0814632737847,0.22,1.0,4,09-06,8.0,5.0,0.0,36.0,152.0,15.0,13.5,7.0,12.0,287.0,77.0,102225.0,ymg_aq,9,top,2
16732403,L,50,0.62,2995.6751602976806,0.14,1.0,2,09-14,7.0,7.0,0.0,32.0,149.5,15.0,26.5,4.5,13.0,254.5,134.0,97627.5,ymg_aq,9,top,4
16732403,C0,50,0.96,2269.7130152256696,0.14,1.0,1,09-13,7.0,3.5,1.0,32.0,154.5,15.0,27.5,6.0,13.0,252.0,136.5,105736.0,ymg_aq,9,top,5
16637255,F,50,0.58,830.6491795254753,0.4,0.68,3,08-01,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,309.5,0.0,56041.5,leave you,10,gold,0
16637255,L,50,0.68,2802.6159601059985,0.5,0.78,2,09-14,8.0,6.0,3.0,33.0,163.0,12.0,31.0,0.0,12.0,419.0,105.0,94477.0,leave you,10,gold,4
16637255,C0,50,0.98,2189.821536612747,1.0,0.54,1,09-14,8.0,6.0,3.0,33.0,163.0,12.0,31.0,0.0,12.0,364.5,108.5,106719.5,leave you,10,gold,5
16622349,F,50,0.92,1884.0946031691074,0.62,0.3,2,08-02,8.0,6.0,0.0,44.0,66.0,21.0,0.0,0.0,12.0,308.0,107.0,139843.5,Mengfei Li,12,top,0
16622349,Q1,50,0.94,1793.556731072983,1.0,0.34,2,08-14,10.0,4.0,0.0,34.0,127.0,20.0,6.0,0.0,12.0,318.0,64.0,97809.5,Mengfei Li,12,top,1
16622349,Q2,50,0.58,1366.6318062618975,0.54,0.54,3,08-26,9.0,4.0,0.0,37.0,143.0,19.0,0.0,0.0,14.0,285.0,72.0,91772.0,Mengfei Li,12,top,2
16622349,Q3,50,0.8,2678.3334057510406,1.0,0.18,2,09-05,9.0,5.0,0.0,33.0,188.0,12.0,5.0,0.0,12.0,381.0,96.0,100182.5,Mengfei Li,12,top,3
16622349,L,50,0.56,2933.0886924945844,0.52,1.0,2,09-14,9.0,5.0,3.0,33.0,101.0,13.0,32.0,12.0,13.0,267.5,176.0,101506.5,Mengfei Li,12,top,4
16622349,C0,50,0.98,2206.5767423906436,0.02,1.0,1,09-11,9.0,5.0,3.0,33.0,115.0,13.0,37.0,4.5,13.0,281.0,189.0,104204.5,Mengfei Li,12,top,5
16690867,F,50,0.76,1500.8542369019967,1.0,0.14,1,08-08,8.0,6.0,0.0,42.0,92.0,23.0,0.0,0.0,14.0,322.0,80.0,80186.5,HowardLeeTW,13,top,0
16690867,Q1,50,0.3,1939.5346355649494,0.6,0.34,2,08-18,10.0,4.0,0.0,34.0,127.0,20.0,6.0,0.0,12.0,318.0,64.0,80973.0,HowardLeeTW,13,top,1
16690867,Q2,50,0.28,1295.4569851045892,0.54,0.34,2,08-30,8.0,5.0,0.0,34.0,127.0,20.0,6.0,0.0,12.0,318.0,64.0,79810.5,HowardLeeTW,13,top,2
16690867,Q3,38,0.9473684210526315,2830.607093176157,0.07894736842105263,1.0,1,09-07,7.5,4.5,2.0,31.0,143.0,13.0,37.0,7.5,12.0,287.5,176.5,109334.0,HowardLeeTW,13,top,3
16690867,L,50,0.6,2528.3274222835485,0.26,1.0,2,09-14,6.0,4.0,2.0,37.0,118.0,13.0,34.0,8.0,12.0,241.0,184.0,102454.5,HowardLeeTW,13,top,4
